561333,pv_20180422_app_main_float_icon_red_envelope_show,app_main_float_icon_red_envelope_show,列表页红包悬浮图标显示PV,1906,1906,2018/4/22 0:00,2018/4/23 0:13,2018/4/23 0:13
561334,pv_20180422_app_main_float_icon_red_envelope_effective_click,app_main_float_icon_red_envelope_effective_click,列表页红包悬浮图标的有效点击PV,269,269,2018/4/22 0:00,2018/4/23 0:13,2018/4/23 0:13
561335,pv_20180422_app_main_float_icon_red_envelope_invalid_click,app_main_float_icon_red_envelope_invalid_click,列表页红包悬浮图标的无效点击PV,180,180,2018/4/22 0:00,2018/4/23 0:13,2018/4/23 0:13
561336,pv_20180422_app_main_header_money_button_click,app_main_header_money_button_click,￥的点击数PV,18,18,2018/4/22 0:00,2018/4/23 0:13,2018/4/23 0:13
561337,pv_20180422_app_video_detail_play_button_click,app_video_detail_play_button_click,视频详情页播放点击数PV,102557,102557,2018/4/22 0:00,2018/4/23 0:13,2018/4/23 0:13
561338,pv_20180422_app_video_detail_play_end,app_video_detail_play_end,视频详情页播放完成数PV,23641,23641,2018/4/22 0:00,2018/4/23 0:13,2018/4/23 0:13
561339,pv_20180422_app_video_detail_play_act_show,app_video_detail_play_act_show,视频详情页播放位广告显示PV,0,0,2018/4/22 0:00,2018/4/23 0:13,2018/4/23 0:13
561340,pv_20180422_app_video_detail_play_act_click,app_video_detail_play_act_click,视频详情页播放位广告点击PV,0,0,2018/4/22 0:00,2018/4/23 0:13,2018/4/23 0:13
561341,pv_20180422_app_video_detail_bottom_collapse_button_click,app_video_detail_bottom_collapse_button_click,视频详情页底部收起按钮点击PV,329,329,2018/4/22 0:00,2018/4/23 0:13,2018/4/23 0:13
561342,pv_20180422_app_video_detail_bottom_expand_button_click,app_video_detail_bottom_expand_button_click,视频详情页底部展开按钮点击PV,254,254,2018/4/22 0:00,2018/4/23 0:13,2018/4/23 0:13
561343,pv_20180422_app_video_detail_bottom_act_show,app_video_detail_bottom_act_show,视频详情页底部广告显示PV,2765934,2765934,2018/4/22 0:00,2018/4/23 0:13,2018/4/23 0:13
561344,pv_20180422_app_video_detail_bottom_act_click,app_video_detail_bottom_act_click,视频详情页底部广告点击PV,11712,11712,2018/4/22 0:00,2018/4/23 0:13,2018/4/23 0:13
561345,pv_20180422_app_video_detail_bottom_reward_can_receive,app_video_detail_bottom_reward_can_receive,视频详情页底部奖励可领取PV,30820,30820,2018/4/22 0:00,2018/4/23 0:13,2018/4/23 0:13
561346,pv_20180422_app_video_detail_bottom_receive_reward_button_penetrate,app_video_detail_bottom_receive_reward_button_penetrate,视频详情页底部领取奖励按钮穿透PV,12245,12245,2018/4/22 0:00,2018/4/23 0:13,2018/4/23 0:13
561347,pv_20180422_app_news_list_act_reward_can_receive,app_news_list_act_reward_can_receive,资讯信息流广告奖励可领取PV,17,17,2018/4/22 0:00,2018/4/23 0:13,2018/4/23 0:13
561348,pv_20180422_app_news_detail_recommend_act_reward_can_receive,app_news_detail_recommend_act_reward_can_receive,资讯详情相关推荐广告奖励可领取PV,274837,274837,2018/4/22 0:00,2018/4/23 0:13,2018/4/23 0:13
561349,pv_20180422_app_register_show,app_register_show,进入注册页PV,8606,8606,2018/4/22 0:00,2018/4/23 0:13,2018/4/23 0:13
561350,pv_20180422_app_login_reset_password_button_click,app_login_reset_password_button_click,点击找回密码PV,16,16,2018/4/22 0:00,2018/4/23 0:13,2018/4/23 0:13
561351,pv_20180422_app_user_profile_login_button_click,app_user_profile_login_button_click,点击未登录态个人页面登录PV,3409,3409,2018/4/22 0:00,2018/4/23 0:13,2018/4/23 0:13
561352,pv_20180422_app_user_profile_show,app_user_profile_show,登录态个人页面显示PV,229050,229050,2018/4/22 0:00,2018/4/23 0:13,2018/4/23 0:13
561353,pv_20180422_app_user_login_show,app_user_login_show,登录页面显示PV,19155,19155,2018/4/22 0:00,2018/4/23 0:13,2018/4/23 0:13
561354,pv_20180422_app_user_login_one_key_login_click,app_user_login_one_key_login_click,登录页面微信一键登录点击PV,17595,17595,2018/4/22 0:00,2018/4/23 0:13,2018/4/23 0:13
561355,pv_20180422_app_user_login_phone_login_click,app_user_login_phone_login_click,登录页面手机登录点击PV,3100,3100,2018/4/22 0:00,2018/4/23 0:13,2018/4/23 0:13
561356,pv_20180422_app_user_profile_menu_shoutu_click,app_user_profile_menu_shoutu_click,点击收徒菜单PV,8444,8444,2018/4/22 0:00,2018/4/23 0:13,2018/4/23 0:13
561357,pv_20180422_app_user_profile_menu_task_click,app_user_profile_menu_task_click,点击日常赚钱菜单PV,238481,238481,2018/4/22 0:00,2018/4/23 0:13,2018/4/23 0:13
561358,pv_20180422_app_user_profile_share_button_click,app_user_profile_share_button_click,点击晒一晒PV,0,0,2018/4/22 0:00,2018/4/23 0:13,2018/4/23 0:13
561359,pv_20180422_app_user_profile_share_wechat_click,app_user_profile_share_wechat_click,晒一晒微信分享点击PV,3562,3562,2018/4/22 0:00,2018/4/23 0:13,2018/4/23 0:13
